first_score,attempts_day1,hours_before,prev_best,at_risk
2.1,0,12.1,4.4,1
5.9,0,76.4,10,0
2.9,2,-11.5,7.3,0
7.7,0,72.3,5.8,0
6.9,2,116.9,3.5,0
8.3,6,-18.4,6.7,1
1.7,4,65.6,5.4,1
5.6,8,22.2,2.6,1
4.1,0,-7.1,6.7,1
2.1,1,72.9,1.5,1
1.6,4,97.3,4.3,0
6.6,0,-33.3,3.3,1
3.7,0,90.0,9.3,0
5.1,2,72.5,9.0,0
7.6,2,142.0,7.6,0
3.7,2,120.3,4.8,0
2.8,1,123.7,4.2,1
3.2,0,-38.4,6.4,0
4.0,0,111.1,4.9,1
9.3,0,16.4,10,0
3.6,1,-2.2,6.0,1
6.4,0,50.8,4.0,0
8.4,3,37.7,7.9,0
6.1,1,108.5,5.1,1
5.6,5,-34.3,7.3,0
4.8,0,13.2,9.1,0
5.3,1,32.4,5.6,0
3.0,1,71.1,5.5,1
6.8,0,103.8,7.6,0
4.9,2,-21.9,8.4,1
5.0,2,38.6,6.4,0
3.5,2,51.2,4.2,1
6.3,0,159.7,4.0,0
10,0,35.5,10,0
1.6,1,-16.8,5.7,1
3.0,3,129.9,8.0,0
10,0,77.0,10,0
5.3,0,116.1,7.6,0
4.8,2,39.0,7.0,1
6.9,0,-41.6,8.0,0
1.6,0,59.0,1.6,1
2.1,0,24.8,6.7,1
9.1,1,-14.0,9.0,0
4.1,0,77.2,7.7,0
7.4,0,105.6,6.9,0
10,0,105.9,9.3,0
4.0,0,51.3,7.8,0
5.2,2,-6.7,6.9,0
4.1,1,-16.8,10,0
2.5,3,-31.5,3.9,0
5.1,1,93.2,6.0,0
1.3,3,62.0,2.2,1
1.7,1,-31.2,4.7,1
2.1,4,90.2,2.3,1
2.2,2,120.0,5.8,1
4.9,0,-28.4,1.9,1
5.7,0,-46.2,2.2,1
7.1,2,-40.1,5.8,1
5.2,0,17.6,5.1,1
4.4,1,135.4,5.2,0
1.3,0,137.8,0.7,1
2.8,0,93.7,3.5,0
8.2,0,-39.5,10,0
2.6,0,2.2,5.2,0
10,0,93.3,9.3,0
2.8,1,104.7,2.3,1
0.5,0,52.1,1.3,1
6.4,1,-15.8,6.5,0
5.5,2,101.3,7.2,0
4.3,0,-30.4,6.6,1
3.0,0,76.9,1.3,1
5.6,0,97.2,3.8,0
7.4,0,163.3,5.9,0
7.7,3,34.5,5.8,0
4.9,1,-35.8,8.5,0
0.4,2,142.2,2.1,1
2.7,4,139.8,3.7,1
8.4,1,151.6,8.7,0
7.9,2,133.4,8.5,0
9.9,5,89.9,8.8,0
5.2,0,-22.3,8.9,0
4.5,8,97.3,0.6,1
7.0,1,8.5,7.3,0
9.2,3,62.2,10,0
7.4,1,52.9,5.8,1
4.1,1,61.9,8.9,0
4.6,1,125.3,5.1,0
5.1,0,68.6,4.5,0
2.9,2,-38.1,4.9,0
6.0,1,163.5,10,0
3.5,3,-3.3,3.6,1
0.8,0,-44.8,3.6,1
4.9,0,91.0,10,0
9.8,0,40.2,8.8,0
6.2,0,155.0,6.5,0
4.6,1,140.9,0.6,1
2.4,0,33.0,5.4,1
10,2,115.5,9.2,0
3.7,2,127.5,4.4,1
6.4,6,27.5,7.9,0
4.1,3,-29.0,8.7,0
5.1,1,13.4,9.1,0
3.6,4,89.2,2.0,1
6.6,0,-23.4,10,1
8.4,1,156.3,8.3,0
2.1,1,-26.8,6.6,0
9.9,0,29.4,9.3,0
8.0,0,104.4,5.0,0
7.0,1,115.6,4.0,0
8.5,4,25.0,7.4,0
2.4,1,-14.9,5.6,1
6.4,0,26.4,7.5,0
3.3,0,46.0,7.2,1
7.3,0,23.0,10,0
10,0,136.8,8.8,0
7.8,1,-1.3,4.7,0
6.1,0,-44.3,4.9,0
5.3,0,58.3,4.0,0
2.0,0,-20.3,2.5,1
7.0,0,-15.0,5.3,1
7.0,6,51.3,6.6,0
3.0,1,-2.0,2.0,1
4.1,0,-40.8,7.2,0
6.7,1,-22.7,6.1,1
10,0,148.4,10,0
3.4,0,151.5,7.5,0
7.3,0,-42.1,10,0
3.8,0,-39.3,9.2,1
8.9,0,-9.3,8.2,0
0,1,27.9,2.8,1
8.2,1,155.9,9.6,0
5.2,2,49.2,6.5,0
0,0,124.6,2.4,1
9.0,0,134.2,9.3,0
8.0,3,105.5,6.2,0
7.4,0,130.3,7.2,0
2.7,2,124.6,6.0,1
8.5,5,120.9,6.9,0
2.9,0,-13.3,0,1
1.9,1,-14.9,4.4,1
4.0,0,143.3,10,0
8.6,0,7.8,7.1,0
5.8,1,48.8,4.1,0
6.8,0,64.4,5.7,0
8.5,0,25.5,8.8,0
6.7,1,-3.3,9.5,0
5.4,3,59.8,8.9,0
6.6,0,103.0,6.8,0
6.8,0,13.7,5.2,0
5.8,2,153.8,8.5,0
3.3,0,19.7,5.7,1
6.0,0,6.7,7.9,0
9.0,2,164.8,7.7,0
5.8,1,48.9,9.8,0
3.6,1,-17.6,6.1,0
4.4,1,49.7,7.9,1
4.2,0,9.6,8.8,1
8.9,2,49.1,8.8,0
2.5,2,52.5,5.4,1
9.9,0,94.7,8.2,0
1.9,1,-37.2,5.5,1
6.6,2,145.6,6.6,0
4.1,2,70.3,8.6,0
8.0,0,154.7,10,0
6.3,7,61.6,2.5,1
7.7,0,56.4,8.9,0
5.6,2,21.8,7.1,0
3.2,0,161.0,5.0,0
9.3,1,10.5,10,0
2.8,3,147.1,6.3,1
7.4,2,-3.1,9.4,0
2.0,0,61.9,5.9,0
7.6,0,152.2,8.0,0
6.0,0,-7.1,6.7,1
7.2,1,103.2,6.8,0
7.3,2,153.9,4.8,0
5.3,1,-0.2,3.6,0
7.0,0,-0.4,4.1,0
5.0,3,-12.9,7.5,1
6.0,0,-26.8,5.8,0
4.4,1,-30.5,6.8,0
6.3,1,-6.4,5.8,0
4.6,8,50.5,3.8,0
5.4,1,127.9,6.6,0
5.3,3,82.9,3.6,0
7.2,1,46.8,9.3,0
5.6,0,-1.6,7.5,1
3.5,0,13.7,8.8,0
2.6,3,4.0,4.6,1
7.1,1,-45.5,6.2,0
5.1,0,-46.9,3.8,1
7.3,0,25.9,4.2,0
7.5,0,59.5,6.5,0
1.8,1,93.1,5.3,1
7.5,2,41.4,5.1,0
3.2,0,20.8,4.8,1
2.7,1,-43.1,7.6,1
3.8,0,132.7,8.8,0
7.5,3,-2.3,5.6,0
0.1,1,138.0,2.3,1
2.8,0,78.4,3.3,1
4.8,2,76.7,8.6,1
4.6,1,156.1,10,0
0.9,1,1.7,3.1,1
7.9,1,-29.4,10,0
6.6,1,86.5,9.2,0
8.8,0,16.5,8.8,0
8.1,3,117.5,5.1,0
5.6,0,-12.5,5.0,0
6.8,2,-31.9,9.1,1
6.8,1,-20.6,8.2,1
5.5,1,37.6,5.5,1
0,1,114.7,0.2,1
3.2,6,-45.3,6.0,1
8.8,0,138.4,6.7,0
2.9,1,75.8,7.6,1
8.3,5,-36.6,6.1,1
5.3,1,85.7,7.6,0
4.4,2,40.9,5.4,0
8.1,1,127.4,8.0,0
2.3,3,112.4,6.0,1
4.0,5,156.2,3.3,1
2.2,3,160.7,4.2,1
5.0,0,123.1,5.3,0
5.8,1,46.5,6.8,0
5.7,5,-29.8,3.2,1
4.4,0,-39.2,6.5,0
1.3,2,162.8,5.0,1
7.3,0,-28.9,6.3,0
7.4,0,157.3,5.5,0
4.5,1,99.9,6.8,0
2.3,1,29.5,7.1,0
2.3,1,47.1,4.6,0
7.3,3,-18.8,8.4,0
7.1,0,76.2,4.3,0
6.1,0,105.2,4.0,0
4.9,2,-10.2,7.9,0
8.3,0,-4.0,7.5,0
5.1,0,90.3,6.4,0
3.9,0,79.2,6.6,0
7.1,0,27.0,10,0
4.4,0,12.5,7.8,1
1.0,1,158.8,3.8,1
2.7,5,-39.5,3.0,1
1.8,0,20.5,3.0,1
7.2,2,-34.0,4.0,0
7.9,0,157.9,7.9,0
8.4,0,122.4,8.9,0
5.0,1,-13.6,4.4,1
9.1,0,121.9,9.7,0
1.9,1,72.6,5.0,1
3.0,0,123.7,7.7,1
7.9,0,117.2,8.1,0
2.7,2,66.0,7.5,0
5.1,1,95.8,6.6,0
6.1,0,117.3,4.1,0
5.0,0,-13.3,8.6,0
4.2,0,69.6,4.1,1
3.6,0,154.8,2.0,0
2.3,6,133.3,4.8,0
6.7,2,16.2,2.9,1
7.2,4,51.9,4.4,0
1.1,0,153.1,5.1,1
2.9,2,-46.3,5.8,1
7.2,0,163.4,8.3,0
0.6,0,-45.6,2.8,1
8.0,3,139.3,6.7,0
3.0,3,-0.6,6.8,1
7.4,0,-18.7,10,1
3.3,1,-1.5,5.4,1
3.0,0,73.0,7.7,0
3.9,0,114.0,4.8,0
4.7,2,40.9,7.5,0
4.8,0,39.1,10,0
7.2,0,82.0,7.9,0
3.4,2,-39.9,6.7,1
4.3,0,-7.9,6.3,0
1.9,0,20.4,2.9,0
4.2,2,16.6,9.3,1
3.2,0,47.9,4.5,1
9.2,1,158.0,8.2,0
2.0,3,1.2,6.5,1
3.2,0,-37.5,6.5,1
2.6,1,100.4,6.5,1
4.0,3,-47.2,7.9,1
7.9,2,128.5,6.5,0
6.6,0,50.9,5.1,0
6.1,1,-32.2,8.7,0
10,0,-42.4,10,0
7.0,4,61.4,9.4,0
4.9,0,82.2,7.1,0
4.9,0,61.7,5.7,1
8.1,8,-28.1,10,0
3.9,2,55.0,8.6,0
7.3,0,62.7,5.4,1
0.4,1,50.6,3.7,1
6.1,6,-7.2,6.7,1
2.3,1,72.6,2.3,1
4.8,0,35.5,5.9,0
9.7,1,0.0,10,0
6.5,0,-6.6,4.4,1
5.2,1,55.8,2.6,1
4.5,2,55.4,6.6,1
2.3,1,1.8,3.5,1
7.6,2,8.0,7.1,0
3.6,1,131.1,5.9,1
1.6,5,106.1,5.3,1
3.3,0,22.0,8.8,0
6.6,3,129.7,4.1,1
4.3,1,82.7,7.3,0
7.0,2,4.6,6.3,1
6.5,0,-42.8,10,0
9.7,0,68.1,7.9,0
5.1,4,27.6,8.8,0
5.9,1,155.7,4.9,0
4.9,0,103.3,9.0,0
4.2,2,15.8,10,1
0.2,0,104.6,0,1
5.3,0,86.8,4.3,1
6.6,0,141.8,10,0
0,1,-46.9,1.6,1
5.6,0,58.0,7.1,0
4.8,1,4.2,8.6,1
4.3,1,77.3,6.8,0
3.7,4,25.2,6.0,0
5.8,0,116.7,6.4,1
8.9,0,24.7,7.1,0
5.0,2,136.6,8.9,0
8.7,4,135.8,7.5,0
2.9,1,58.7,5.5,0
6.5,4,-13.5,8.6,1
6.3,3,6.3,7.9,0
1.1,2,-1.2,4.8,1
7.8,2,138.9,5.8,0
7.9,1,97.6,8.4,0
7.4,1,-34.0,10,0
5.9,0,9.4,9.2,0
6.5,2,119.3,4.7,0
2.3,8,120.8,6.3,1
5.3,1,131.6,6.8,0
5.3,1,-37.4,1.9,1
6.0,0,81.2,5.9,0
2.1,2,73.0,5.4,1
5.0,2,90.3,8.1,0
3.9,0,127.9,6.4,0
7.4,0,106.0,4.4,0
4.5,0,142.1,5.7,0
3.0,8,-38.5,7.5,1
3.7,0,128.3,7.4,0
1.5,3,152.3,5.6,0
3.1,1,32.1,7.0,1
5.4,0,-8.9,7.3,0
5.7,4,98.6,10,0
4.3,0,150.2,6.1,0
5.7,0,37.9,3.2,0
7.0,0,-46.4,7.2,0
8.6,0,94.4,7.6,0
4.9,0,26.6,6.9,0
8.9,0,-9.0,7.1,1
6.4,1,109.8,8.2,0
7.6,1,122.2,5.5,0
3.5,0,50.6,9.1,1
4.5,1,21.9,4.8,1
2.2,0,-46.3,5.2,1
7.8,0,72.3,9.1,0
5.3,0,67.3,9.5,0
1.9,0,-15.1,6.2,1
7.3,0,81.8,4.5,0
7.3,1,141.7,8.4,0
6.6,1,9.0,6.2,0
6.5,0,50.2,9.5,0
10,0,-33.1,8.9,0
6.1,3,55.4,6.5,0
6.1,2,-47.5,3.2,1
0.7,7,83.3,4.2,1
10,1,-26.6,10,1
3.5,0,16.0,8.1,1
8.5,0,93.5,6.6,0
3.3,1,80.7,6.2,1
3.9,2,30.9,7.8,0
2.4,0,118.7,1.5,0
8.2,4,164.5,8.1,0
8.7,3,122.6,10,0
2.7,1,47.1,6.5,1
5.9,1,32.8,9.3,0
4.5,3,154.5,4.3,0
8.2,0,87.6,6.5,0
9.7,1,2.3,9.8,1
4.7,0,86.6,9.0,0
0.5,1,28.1,3.6,1
7.2,0,-42.2,5.3,1
2.7,0,69.1,7.3,0
2.7,0,-1.4,4.4,1
4.4,1,-8.1,10,1
5.6,0,121.0,7.0,0
5.1,3,95.2,10,0
9.7,2,153.8,8.9,0
4.5,1,107.0,1.5,1
4.5,5,-26.4,4.0,1
4.9,2,-45.1,7.7,0
5.6,2,80.0,5.4,1
1.7,1,46.4,6.0,0
3.7,1,89.2,4.6,1
8.9,1,124.6,10,0
5.8,1,95.6,4.7,1
2.8,0,58.4,3.3,1
7.9,2,107.4,7.6,0
5.9,0,122.5,7.2,0
7.1,0,-46.2,6.4,1
3.5,2,156.3,6.3,0
10,1,23.7,10,0
3.5,0,89.6,2.9,1
6.3,0,65.2,5.7,0
4.6,2,54.3,6.8,0
7.1,1,111.2,7.6,0
0.5,1,7.9,0,1
4.3,3,17.5,2.7,1
8.3,0,145.2,7.2,0
4.1,1,25.2,7.3,0
6.9,7,154.6,6.1,0
10,1,13.9,10,0
4.4,1,6.1,5.9,0
7.4,0,104.7,8.6,0
4.2,1,-43.9,6.0,0
5.1,0,79.8,5.5,0
6.7,2,119.6,3.3,0
4.9,2,40.8,9.9,0
7.7,0,156.6,6.5,0
1.4,0,81.3,3.4,1
4.4,0,-31.4,8.4,0
6.2,0,12.4,3.4,0
8.1,1,141.7,9.0,0
9.1,0,-13.2,8.1,0
7.9,0,69.7,5.2,1
3.1,1,55.8,5.9,1
5.0,0,-9.9,8.1,0
8.9,1,129.5,10,0
2.2,0,-29.0,3.7,1
2.1,0,144.4,6.7,0
1.4,1,-0.5,5.5,0
4.0,2,117.8,5.7,1
4.9,0,8.3,4.7,1
1.7,0,85.1,5.9,0
8.1,0,145.8,7.0,0
3.5,0,-25.9,9.0,0
0.8,7,93.8,3.1,1
3.0,1,-6.4,2.1,1
1.6,4,82.3,3.9,1
1.2,0,71.1,5.0,1
6.2,2,26.8,4.7,0
2.5,0,113.2,0.6,1
4.9,0,76.4,8.2,0
7.7,0,19.9,10,0
4.0,0,102.7,5.1,0
4.9,0,52.5,7.4,0
6.7,4,-7.2,8.4,0
5.4,3,1.3,7.7,0
4.5,1,78.6,6.4,1
2.9,1,71.9,6.2,1
8.7,3,150.7,7.8,0
2.1,2,110.1,1.4,1
6.5,0,-11.2,8.1,0
7.2,3,29.5,5.5,1
2.5,6,27.8,6.0,1
10,0,20.5,9.0,0
5.5,1,54.1,7.3,0
6.3,5,42.4,5.5,1
1.1,0,29.5,4.4,1
5.7,4,45.1,5.5,0
6.3,3,-1.7,5.0,0
5.0,0,118.5,5.3,1
9.2,0,152.0,7.3,0
3.5,0,2.9,5.8,1
6.3,0,-13.9,6.4,0
10,2,-38.0,9.1,0
7.5,0,67.5,4.2,0
4.2,0,-43.7,3.1,1
3.5,4,84.3,7.6,1
3.9,3,139.0,5.5,0
8.0,1,101.8,8.0,0
7.3,1,39.0,8.3,1
1.2,2,32.4,2.5,1
4.5,2,57.1,6.3,0
9.5,4,55.3,8.9,0
3.5,0,0.3,8.8,0
8.6,2,140.1,9.0,0
4.1,0,130.0,5.1,0
3.6,1,82.1,5.3,1
3.7,0,81.3,9.1,0
5.2,1,-9.3,1.9,1
4.2,0,142.3,7.9,0
7.4,1,-5.6,6.4,0
5.0,0,-4.4,9.5,0
2.8,1,-3.9,0.4,1
7.4,1,159.7,6.9,0
3.5,3,118.8,4.8,0
9.5,2,5.9,7.9,0
7.9,1,32.4,6.6,0
6.0,1,56.0,5.8,0
1.0,3,8.6,4.3,1
4.4,0,-23.1,0,1
4.3,1,77.6,6.7,1
3.6,2,38.8,9.3,1
0.4,0,81.7,3.2,1
1.4,4,142.4,4.1,0
6.4,2,62.3,7.0,0
6.4,0,89.0,7.4,0
8.2,0,52.4,9.0,0
4.7,2,157.7,5.5,1
3.5,3,54.4,6.2,1
9.0,0,111.0,7.6,0
8.5,1,-20.0,8.6,0
4.3,0,148.9,10,0
5.2,2,112.9,10,0
6.3,3,-29.5,7.8,0
4.4,2,38.4,1.8,1
1.5,5,69.8,5.4,1
8.8,2,50.8,7.5,0
2.6,1,17.0,2.9,0
5.7,0,30.3,5.3,1
5.1,4,93.5,3.8,1
3.1,0,127.8,6.5,0
4.0,2,145.1,4.0,0
5.0,1,138.3,2.1,0
6.2,3,163.2,6.1,0
10,2,92.0,10,0
7.2,0,159.4,10,0
10,1,165.3,9.2,0
6.7,0,159.3,6.5,0
4.9,7,28.8,10,0
5.4,0,124.7,2.2,1
5.2,2,113.7,4.8,1
7.4,0,107.8,6.8,0
7.3,0,-10.0,4.5,0
8.8,1,137.4,8.3,0
9.0,0,163.9,8.6,0
6.8,0,109.2,3.7,0
7.5,0,-6.4,5.6,0
7.9,1,14.0,7.4,0
3.3,1,116.5,5.5,0
2.7,5,-31.2,7.5,1
5.2,0,-4.5,5.7,1
6.6,2,45.0,5.2,0
